Time,l_per,l_abs,b_per,b_abs
1776795743,7.6,1806,4.6,843
1776795746,7.6,1806,4.6,844
1776795748,7.6,1806,4.6,844
1776795750,7.6,1806,4.6,844
1776795751,7.6,1806,4.6,844
1776795752,7.6,1806,4.6,844
1776795753,7.6,1806,4.6,844
1776795755,7.6,1806,4.6,844
1776795757,7.6,1806,4.6,844
1776795758,7.6,1806,4.6,844
1776795759,16.3,3878,9.8,1817
1776795761,18.6,4415,11.0,2037
1776795762,18.6,4436,11.1,2051
1776795762,18.9,4494,11.2,2071
1776795763,18.9,4494,11.2,2071
1776795763,18.9,4494,11.2,2071
1776795764,18.9,4495,11.2,2073
1776795764,19.5,4643,11.6,2150
1776795766,21.5,5115,12.8,2377
1776795767,21.5,5115,12.8,2377
1776795767,21.5,5115,12.8,2377
1776795768,21.5,5115,12.8,2377
1776795768,21.5,5115,12.8,2377
1776795771,22.3,5323,13.5,2500
1776795771,22.3,5323,13.5,2500
1776795771,22.3,5323,13.5,2500
1776795772,22.3,5326,13.5,2501
1776795772,22.3,5326,13.5,2501
1776795772,22.4,5347,13.6,2512
1776795773,22.4,5347,13.6,2512
1776795773,22.4,5347,13.6,2512
1776795773,22.4,5347,13.6,2516
1776795774,22.4,5347,13.6,2516
1776795774,22.4,5347,13.6,2516
1776795775,22.4,5347,13.6,2516
1776795775,22.4,5347,13.6,2516
1776795777,22.4,5347,13.6,2516
1776795778,22.4,5347,13.6,2516
1776795778,22.4,5347,13.6,2516
1776795779,22.4,5347,13.6,2516
1776795779,22.4,5347,13.6,2516
1776795782,22.4,5347,13.6,2516
1776795782,22.4,5347,13.6,2516
1776795783,22.4,5347,13.6,2516
1776795783,22.4,5347,13.6,2516
1776795784,22.4,5347,13.6,2516
1776795784,22.4,5347,13.6,2516
1776795784,22.4,5347,13.6,2516
1776795785,22.4,5347,13.6,2516
1776795785,22.4,5347,13.6,2516
1776795785,22.4,5347,13.6,2516
1776795786,22.4,5347,13.6,2516
1776795786,22.4,5347,13.6,2516
1776795788,22.4,5347,13.6,2524
1776795789,22.4,5347,13.6,2525
1776795790,22.4,5347,13.6,2525
1776795790,22.4,5347,13.6,2525
1776795790,22.4,5347,13.6,2525
1776795791,22.4,5347,13.6,2525
1776795791,22.4,5347,13.6,2525
1776795792,22.4,5347,13.6,2525
1776795793,23.0,5480,13.8,2563
1776795794,23.0,5480,13.8,2563
1776795794,23.0,5480,13.8,2563
1776795794,23.0,5480,13.8,2563
1776795795,23.0,5480,13.8,2563
1776795795,23.0,5480,13.8,2563
1776795743,23.0,5480,13.8,2563
1776795746,23.0,5480,13.8,2563
1776795748,23.0,5480,13.8,2563
1776795750,23.0,5480,13.8,2563
1776795751,23.0,5480,13.8,2563
1776795752,23.0,5480,13.8,2563
1776795753,23.0,5480,13.8,2563
1776795755,23.0,5483,13.9,2567
1776795757,23.0,5483,13.9,2567
1776795758,23.0,5483,13.9,2567
1776795759,23.0,5483,13.9,2567
1776795761,23.0,5483,13.9,2567
1776795762,23.0,5483,13.9,2567
1776795762,23.0,5483,13.9,2567
1776795763,23.0,5483,13.9,2567
1776795763,23.0,5483,13.9,2567
1776795764,23.0,5483,13.9,2567
1776795764,23.0,5483,13.9,2567
1776795766,23.0,5483,13.9,2567
1776795767,23.0,5483,13.9,2567
1776795767,23.0,5483,13.9,2567
1776795768,23.0,5483,13.9,2567
1776795768,23.0,5483,13.9,2567
1776795771,23.0,5483,13.9,2567
1776795771,23.0,5483,13.9,2567
1776795771,23.0,5483,13.9,2567
1776795772,23.0,5483,13.9,2567
1776795772,23.0,5483,13.9,2567
1776795772,23.0,5483,13.9,2567
1776795773,23.0,5483,13.9,2567
1776795773,23.0,5483,13.9,2567
1776795773,23.0,5483,13.9,2567
1776795774,23.0,5483,13.9,2567
1776795774,23.0,5483,13.9,2567
1776795775,23.0,5483,13.9,2567
1776795775,23.0,5483,13.9,2567
1776795777,23.0,5483,13.9,2567
1776795778,23.0,5483,13.9,2567
1776795778,23.0,5483,13.9,2567
1776795779,23.0,5483,13.9,2567
1776795779,23.0,5483,13.9,2567
1776795782,23.0,5483,13.9,2567
1776795782,23.0,5483,13.9,2567
1776795783,23.0,5483,13.9,2567
1776795783,23.0,5483,13.9,2567
1776795784,23.0,5483,13.9,2567
1776795784,23.0,5483,13.9,2567
1776795784,23.0,5483,13.9,2567
1776795785,23.0,5483,13.9,2567
1776795785,23.0,5483,13.9,2567
1776795785,23.0,5483,13.9,2567
1776795786,23.0,5483,13.9,2567
1776795786,23.0,5483,13.9,2567
1776795788,23.0,5483,13.9,2567
1776795789,23.0,5483,13.9,2567
1776795790,23.0,5483,13.9,2567
1776795790,23.0,5483,13.9,2567
1776795790,23.0,5483,13.9,2567
1776795791,23.0,5483,13.9,2567
1776795791,23.0,5483,13.9,2567
1776795792,23.0,5483,13.9,2567
1776795793,23.0,5483,13.9,2567
1776795794,23.0,5483,13.9,2567
1776795794,23.0,5483,13.9,2567
1776795794,23.0,5483,13.9,2567
1776795795,23.0,5483,13.9,2567
1776795795,23.0,5483,13.9,2567
1776795799,23.0,5483,13.9,2567
1776795800,23.0,5483,13.9,2571
1776795801,23.0,5488,13.9,2577
1776795801,23.0,5488,13.9,2578
1776795802,23.0,5490,13.9,2580
1776795802,23.0,5490,13.9,2583
1776795803,23.0,5490,13.9,2583
1776795803,23.0,5490,13.9,2583
1776795804,23.0,5490,14.0,2584
1776795805,23.0,5490,14.0,2584
1776795805,23.0,5490,14.0,2584
1776795806,23.0,5490,14.0,2584
1776795806,23.0,5490,14.0,2584
1776795807,23.0,5490,14.0,2584
1776795808,23.0,5490,14.0,2585
1776795808,23.0,5490,14.0,2585
1776795809,23.0,5490,14.0,2585
1776795810,23.0,5490,14.0,2585
1776795810,23.0,5490,14.0,2586
1776795811,23.0,5490,14.0,2586
1776795812,23.0,5490,14.0,2586
1776795813,23.0,5490,14.0,2586
1776795813,23.0,5490,14.0,2586
1776795814,23.0,5490,14.0,2586
1776795814,23.0,5490,14.0,2586
1776795815,23.0,5490,14.0,2587
1776795815,23.0,5490,14.0,2587
1776795816,23.0,5490,14.0,2587
1776795816,23.0,5490,14.0,2588
1776795817,23.0,5490,14.0,2588
1776795818,23.0,5490,14.0,2588
1776795818,23.0,5490,14.0,2588
1776795819,23.0,5490,14.0,2588
1776795819,23.0,5490,14.0,2588
1776795820,23.0,5490,14.0,2588
1776795820,23.0,5490,14.0,2588
1776795821,23.0,5490,14.0,2588
1776795822,23.0,5490,14.0,2588
1776795824,23.0,5490,14.0,2588
1776795825,23.0,5490,14.0,2588
1776795826,23.0,5490,14.0,2588
1776795827,23.0,5490,14.0,2588
1776795827,23.0,5490,14.0,2588
1776795828,23.0,5490,14.0,2588
1776795829,23.0,5490,14.0,2588
1776795830,23.0,5490,14.0,2588
1776795831,23.0,5490,14.0,2588
1776795835,23.0,5490,14.0,2588
1776795835,23.0,5490,14.0,2588
1776795836,23.0,5493,14.0,2591
1776795837,23.0,5493,14.0,2591
1776795838,23.0,5493,14.0,2591
1776795839,23.0,5493,14.0,2591
1776795839,23.0,5493,14.0,2591
1776795840,23.0,5493,14.0,2591
1776795841,23.1,5506,14.0,2596
1776795841,23.1,5506,14.0,2596
1776795842,23.1,5506,14.0,2597
1776795842,23.1,5506,14.0,2597
1776795843,23.1,5506,14.0,2597
1776795844,23.1,5507,14.0,2601
1776795845,23.1,5507,14.0,2602
1776795846,23.1,5507,14.0,2602
1776795847,23.1,5507,14.0,2602
1776795848,23.1,5507,14.0,2602
1776795849,23.1,5507,14.0,2602
1776795850,23.1,5507,14.0,2602
1776795851,23.1,5507,14.0,2602
1776795853,23.1,5508,14.1,2605
1776795853,23.1,5508,14.1,2605
1776795854,23.1,5508,14.1,2605
1776795855,23.1,5508,14.1,2605
1776795856,23.1,5508,14.1,2605
1776795856,23.1,5508,14.1,2605
1776795857,23.1,5509,14.1,2606
1776795859,23.1,5509,14.1,2606
1776795859,23.1,5509,14.1,2606
1776795860,23.1,5509,14.1,2606
1776795861,23.1,5510,14.1,2607
1776795862,23.1,5510,14.1,2607
1776795862,23.1,5510,14.1,2607
1776795863,23.1,5510,14.1,2607
1776795864,23.1,5510,14.1,2607
1776795865,23.1,5510,14.1,2607
1776795866,23.1,5510,14.1,2607
1776795867,23.1,5510,14.1,2607
1776795867,23.1,5510,14.1,2609
1776795868,23.1,5510,14.1,2609
1776795869,23.1,5510,14.1,2609
1776795870,23.1,5510,14.1,2609
1776795871,23.1,5510,14.1,2609
1776795871,23.1,5510,14.1,2609
1776795872,23.1,5510,14.1,2610
1776795873,23.1,5510,14.1,2610
1776795874,23.1,5510,14.1,2610
1776795875,23.1,5510,14.1,2610
1776795876,23.1,5510,14.1,2610
1776795877,23.1,5510,14.1,2610
1776795878,23.1,5510,14.1,2610
1776795879,23.1,5510,14.1,2610
1776795880,23.1,5510,14.1,2610
1776795882,23.1,5510,14.1,2610
1776795883,23.1,5510,14.1,2610
1776795885,23.1,5510,14.1,2610
1776795885,23.1,5510,14.1,2613
1776795886,23.1,5510,14.1,2613
1776795887,23.1,5510,14.1,2613
1776795888,23.1,5511,14.1,2614
1776795889,23.1,5511,14.1,2614
1776795890,23.1,5511,14.1,2614
